
🔁 Fold 1/3 for GraphSAGE
[GraphSAGE][Fold 2] Epoch 19/50, Hidden=32, LR=0.01, Loss=26308914.0000, Test AUC=0.5251
[GraphSAGE][Fold 2] Epoch 20/50, Hidden=32, LR=0.01, Loss=23497698.0000, Test AUC=0.5291
[GraphSAGE][Fold 2] Epoch 21/50, Hidden=32, LR=0.01, Loss=20236582.0000, Test AUC=0.5312
[GraphSAGE][Fold 2] Epoch 22/50, Hidden=32, LR=0.01, Loss=17497632.0000, Test AUC=0.5242
[GraphSAGE][Fold 2] Epoch 23/50, Hidden=32, LR=0.01, Loss=14786540.0000, Test AUC=0.5242
[GraphSAGE][Fold 2] Epoch 24/50, Hidden=32, LR=0.01, Loss=12730680.0000, Test AUC=0.5245
[GraphSAGE][Fold 2] Epoch 25/50, Hidden=32, LR=0.01, Loss=11378685.0000, Test AUC=0.5303
[GraphSAGE][Fold 2] Epoch 26/50, Hidden=32, LR=0.01, Loss=10089938.0000, Test AUC=0.5297
[GraphSAGE][Fold 2] Epoch 27/50, Hidden=32, LR=0.01, Loss=9239329.0000, Test AUC=0.5276
[GraphSAGE][Fold 2] Epoch 28/50, Hidden=32, LR=0.01, Loss=8560447.0000, Test AUC=0.5303
[GraphSAGE][Fold 2] Epoch 29/50, Hidden=32, LR=0.01, Loss=8426860.0000, Test AUC=0.5297
[GraphSAGE][Fold 2] Epoch 30/50, Hidden=32, LR=0.01, Loss=7610707.5000, Test AUC=0.5322
